,구분,읍면동,리,건축물구조,건물용도,연면적(제곱미터),빈집등급,조사기준일,관리기관명,관리기관전화번호,데이터기준일
0,읍면,신북읍,율문리,일반목구조,단독주택,61.55,4,2021-12-01,강원특별자치도 춘천시청,033-250-3192,2023-11-10
1,읍면,신북읍,율문리,일반목구조,단독주택,61.91,2,2021-12-01,강원특별자치도 춘천시청,033-250-3192,2023-11-10
2,읍면,신북읍,율문리,일반목구조,단독주택,79.04,4,2021-12-01,강원특별자치도 춘천시청,033-250-3192,2023-11-10
3,읍면,신북읍,율문리,일반목구조,단독주택,47.59,4,2021-12-01,강원특별자치도 춘천시청,033-250-3192,2023-11-10
4,읍면,신북읍,율문리,일반목구조,단독주택,66.56,4,2021-12-01,강원특별자치도 춘천시청,033-250-3192,2023-11-10
5,읍면,신북읍,율문리,일반목구조,단독주택,26.58,4,2021-12-01,강원특별자치도 춘천시청,033-250-3192,2023-11-10
6,읍면,신북읍,율문리,일반목구조,단독주택,59.86,4,2021-12-01,강원특별자치도 춘천시청,033-250-3192,2023-11-10
7,읍면,신북읍,율문리,블록구조,단독주택,51.52,1,2021-12-01,강원특별자치도 춘천시청,033-250-3192,2023-11-10
8,읍면,신북읍,율문리,일반목구조,단독주택,40.04,3,2021-12-01,강원특별자치도 춘천시청,033-250-3192,2023-11-10
9,읍면,신북읍,율문리,블록구조,단독주택,92.4,2,2021-12-01,강원특별자치도 춘천시청,033-250-3192,2023-11-10
10,읍면,신북읍,율문리,일반목구조,단독주택,77.76,4,2021-12-01,강원특별자치도 춘천시청,033-250-3192,2023-11-10
11,읍면,신북읍,율문리,블록구조,단독주택,84.11,2,2021-12-01,강원특별자치도 춘천시청,033-250-3192,2023-11-10
12,읍면,신북읍,천전리,일반목구조,단독주택,77.05,4,2021-12-01,강원특별자치도 춘천시청,033-250-3192,2023-11-10
13,읍면,신북읍,천전리,블록구조,단독주택,72.54,3,2021-12-01,강원특별자치도 춘천시청,033-250-3192,2023-11-10
14,읍면,신북읍,천전리,일반목구조,단독주택,177.52,4,2021-12-01,강원특별자치도 춘천시청,033-250-3192,2023-11-10
15,읍면,신북읍,천전리,일반목구조,단독주택,190.94,2,2021-12-01,강원특별자치도 춘천시청,033-250-3192,2023-11-10
16,읍면,신북읍,천전리,기타강구조,제2종근린생활시설,119.99,1,2021-12-01,강원특별자치도 춘천시청,033-250-3192,2023-11-10
17,읍면,신북읍,유포리,일반목구조,단독주택,78.66,3,2021-12-01,강원특별자치도 춘천시청,033-250-3192,2023-11-10
18,읍면,신북읍,유포리,일반목구조,단독주택,70.15,4,2021-12-01,강원특별자치도 춘천시청,033-250-3192,2023-11-10
19,읍면,신북읍,유포리,일반목구조,단독주택,35.69,3,2021-12-01,강원특별자치도 춘천시청,033-250-3192,2023-11-10
20,읍면,신북읍,산천리,일반목구조,단독주택,72.21,4,2021-12-01,강원특별자치도 춘천시청,033-250-3192,2023-11-10
21,읍면,신북읍,산천리,일반목구조,단독주택,143.73,2,2021-12-01,강원특별자치도 춘천시청,033-250-3192,2023-11-10
22,읍면,신북읍,발산리,벽돌구조,단독주택,87.79,4,2021-12-01,강원특별자치도 춘천시청,033-250-3192,2023-11-10
23,읍면,신북읍,발산리,일반목구조,단독주택,61.43,2,2021-12-01,강원특별자치도 춘천시청,033-250-3192,2023-11-10
