,구분,행정동,1등급,2등급,3등급,4등급,합계,기준일자
0,1,고산1동,0,1,0,0,1,2024-05-21
1,2,고산2동,10,12,2,14,38,2024-05-21
2,3,고산3동,4,3,4,2,13,2024-05-21
3,4,두산동,0,4,0,0,4,2024-05-21
4,5,만촌1동,1,8,2,0,11,2024-05-21
5,6,만촌2동,3,8,1,0,12,2024-05-21
6,7,만촌3동,2,3,3,0,8,2024-05-21
7,8,범물1동,1,0,0,0,1,2024-05-21
8,9,범물2동,0,0,0,1,1,2024-05-21
9,10,범어1동,9,25,1,2,37,2024-05-21
10,11,범어2동,18,16,1,0,35,2024-05-21
11,12,범어3동,3,12,0,1,16,2024-05-21
12,13,범어4동,6,5,0,0,11,2024-05-21
13,14,상동,1,2,7,0,10,2024-05-21
14,15,수성1가동,2,20,7,0,29,2024-05-21
15,16,"수성2,3가동",10,39,23,1,73,2024-05-21
16,17,수성4가동,6,29,14,12,61,2024-05-21
17,18,중동,1,41,30,2,74,2024-05-21
18,19,지산1동,0,3,1,1,5,2024-05-21
19,20,지산2동,8,1,0,0,9,2024-05-21
20,21,파동,14,25,4,0,43,2024-05-21
21,22,황금1동,0,2,2,0,4,2024-05-21
22,23,황금2동,0,7,0,0,7,2024-05-21
