,번호,주택구분,시도코드,시도이름,시군구코드,시군구이름,행정동코드,행정동이름,법정동코드,법정동이름,기준일자
0,1,단독주택(다가구),3000000000,대전광역시,3020000000,유성구,3020052000,진잠동,3020010100,원내동,2021-10-01
1,2,공동주택(다세대/연립),3000000000,대전광역시,3020000000,유성구,3020052000,진잠동,3020010100,원내동,2021-10-01
2,3,공동주택(다세대/연립),3000000000,대전광역시,3020000000,유성구,3020052000,진잠동,3020010100,원내동,2021-10-01
3,4,그 외 주택,3000000000,대전광역시,3020000000,유성구,3020052000,진잠동,3020010100,원내동,2021-10-01
4,5,단독주택(다가구),3000000000,대전광역시,3020000000,유성구,3020052000,진잠동,3020010100,원내동,2021-10-01
5,6,단독주택(다가구),3000000000,대전광역시,3020000000,유성구,3020052000,진잠동,3020010100,원내동,2021-10-01
6,7,공동주택(다세대/연립),3000000000,대전광역시,3020000000,유성구,3020052000,진잠동,3020010100,원내동,2021-10-01
7,8,공동주택(다세대/연립),3000000000,대전광역시,3020000000,유성구,3020052000,진잠동,3020010100,원내동,2021-10-01
8,9,단독주택(다가구),3000000000,대전광역시,3020000000,유성구,3020052000,진잠동,3020010100,원내동,2021-10-01
9,10,단독주택(다가구),3000000000,대전광역시,3020000000,유성구,3020052000,진잠동,3020010100,원내동,2021-10-01
10,11,단독주택(다가구),3000000000,대전광역시,3020000000,유성구,3020052000,진잠동,3020010200,교촌동,2021-10-01
11,12,단독주택(다가구),3000000000,대전광역시,3020000000,유성구,3020052000,진잠동,3020010200,교촌동,2021-10-01
12,13,단독주택(다가구),3000000000,대전광역시,3020000000,유성구,3020052000,진잠동,3020010200,교촌동,2021-10-01
13,14,단독주택(다가구),3000000000,대전광역시,3020000000,유성구,3020052000,진잠동,3020010200,교촌동,2021-10-01
14,15,단독주택(다가구),3000000000,대전광역시,3020000000,유성구,3020052000,진잠동,3020010200,교촌동,2021-10-01
15,16,단독주택(다가구),3000000000,대전광역시,3020000000,유성구,3020052000,진잠동,3020010200,교촌동,2021-10-01
16,17,단독주택(다가구),3000000000,대전광역시,3020000000,유성구,3020052000,진잠동,3020010200,교촌동,2021-10-01
17,18,공동주택(다세대/연립),3000000000,대전광역시,3020000000,유성구,3020052000,진잠동,3020010200,교촌동,2021-10-01
18,19,공동주택(다세대/연립),3000000000,대전광역시,3020000000,유성구,3020052000,진잠동,3020010300,대정동,2021-10-01
19,20,단독주택(다가구),3000000000,대전광역시,3020000000,유성구,3020052000,진잠동,3020010300,대정동,2021-10-01
20,21,공동주택(다세대/연립),3000000000,대전광역시,3020000000,유성구,3020052000,진잠동,3020010300,대정동,2021-10-01
21,22,공동주택(다세대/연립),3000000000,대전광역시,3020000000,유성구,3020052000,진잠동,3020010300,대정동,2021-10-01
22,23,단독주택(다가구),3000000000,대전광역시,3020000000,유성구,3020052000,진잠동,3020010300,대정동,2021-10-01
