Unnamed: 0,시도명,시군구명,읍면동명,,대지면적(제곱미터),,,,기준일자,관리기관명,관리기관전화번호,기준일자
0,수원시,팔달구,교동,단독,196.3,4,제1종일반주거지역,사유지,2019.9.26,경기도 수원시청,031-228-3395,2024.1.30
1,수원시,팔달구,매산로3가,단독,344.0,4,제1종일반주거지역,국유지,2019.9.26,경기도 수원시청,031-228-3396,2024.1.30
2,수원시,팔달구,매향동,단독,195.0,4,제1종일반주거지역,사유지,2019.9.26,경기도 수원시청,031-228-3397,2024.1.30
3,수원시,권선구,고색동,단독,214.0,4,준주거지역,사유지,2019.9.26,경기도 수원시청,031-228-3398,2024.1.30
4,수원시,권선구,서둔동,단독,176.0,4,제1종일반주거지역,사유지,2019.9.26,경기도 수원시청,031-228-3399,2024.1.30
5,수원시,권선구,서둔동,단독,98.0,4,일반상업지역,사유지,2019.9.26,경기도 수원시청,031-228-3400,2024.1.30
6,수원시,팔달구,인계동,단독,20.0,4,일반상업지역,사유지,2019.9.26,경기도 수원시청,031-228-3401,2024.1.30
7,수원시,팔달구,매교동,단독,132.0,4,일반상업지역,사유지,2019.9.26,경기도 수원시청,031-228-3402,2024.1.30
8,수원시,팔달구,인계동,단독,17.0,4,일반상업지역,사유지,2019.9.26,경기도 수원시청,031-228-3403,2024.1.30
9,수원시,권선구,세류동,단독,185.0,4,제2종일반주거지역,사유지,2019.9.26,경기도 수원시청,031-228-3404,2024.1.30
10,수원시,권선구,오목천동,단독,584.0,4,제1종일반주거지역,사유지,2019.9.26,경기도 수원시청,031-228-3405,2024.1.30
11,수원시,팔달구,매산로3가,단독,175.0,4,제1종일반주거지역,사유지,2019.9.26,경기도 수원시청,031-228-3406,2024.1.30
12,수원시,팔달구,매교동,단독,96.0,4,일반상업지역,사유지,2019.9.26,경기도 수원시청,031-228-3407,2024.1.30
13,수원시,팔달구,교동,단독,202.0,3,제1종일반주거지역,사유지,2019.9.26,경기도 수원시청,031-228-3408,2024.1.30
14,수원시,팔달구,교동,단독,407.0,3,제1종일반주거지역,사유지,2019.9.26,경기도 수원시청,031-228-3409,2024.1.30
15,수원시,팔달구,매향동,단독,53.0,3,제1종일반주거지역,사유지,2019.9.26,경기도 수원시청,031-228-3410,2024.1.30
16,수원시,팔달구,남수동,단독,56.0,3,제1종일반주거지역,사유지,2019.9.26,경기도 수원시청,031-228-3411,2024.1.30
17,수원시,팔달구,남수동,단독,153.0,3,제1종일반주거지역,사유지,2019.9.26,경기도 수원시청,031-228-3412,2024.1.30
18,수원시,팔달구,매향동,단독,251.0,3,제1종일반주거지역,사유지,2019.9.26,경기도 수원시청,031-228-3413,2024.1.30
19,수원시,권선구,서둔동,단독,142.0,3,일반상업지역,사유지,2019.9.26,경기도 수원시청,031-228-3414,2024.1.30
20,수원시,팔달구,매산로3가,단독,89.0,3,제1종일반주거지역,사유지,2019.9.26,경기도 수원시청,031-228-3415,2024.1.30
21,수원시,장안구,영화동,단독,129.0,3,제1종일반주거지역,사유지,2019.9.26,경기도 수원시청,031-228-3416,2024.1.30
22,수원시,장안구,이목동,단독,155.0,3,제1종일반주거지역,사유지,2019.9.26,경기도 수원시청,031-228-3417,2024.1.30
23,수원시,권선구,세류동,단독,141.0,3,제1종일반주거지역,사유지,2019.9.26,경기도 수원시청,031-228-3418,2024.1.30
24,수원시,권선구,평동,단독,99.0,3,제1종일반주거지역,사유지,2019.9.26,경기도 수원시청,031-228-3419,2024.1.30
