Unnamed: 0,기준일자,시도명,시군구명,,,
0,2017,서울특별시,종로구,4.94,2264,45787
1,2017,서울특별시,중구,4.87,1925,39512
2,2017,서울특별시,용산구,7.39,5274,71356
3,2017,서울특별시,성동구,1.72,1489,86650
4,2017,서울특별시,광진구,1.16,981,84316
5,2017,서울특별시,동대문구,2.34,2289,97891
6,2017,서울특별시,중랑구,1.31,1359,103740
7,2017,서울특별시,성북구,3.1,4049,130766
8,2017,서울특별시,강북구,2.53,2391,94526
9,2017,서울특별시,도봉구,2.89,3032,104752
10,2017,서울특별시,노원구,2.52,4713,187025
11,2017,서울특별시,은평구,3.26,4691,143727
12,2017,서울특별시,서대문구,2.66,2513,94398
13,2017,서울특별시,마포구,5.15,6092,118355
14,2017,서울특별시,양천구,2.41,3300,137056
15,2017,서울특별시,강서구,3.8,7146,188176
16,2017,서울특별시,구로구,2.62,3188,121684
17,2017,서울특별시,금천구,1.14,711,62314
18,2017,서울특별시,영등포구,3.12,3100,99225
19,2017,서울특별시,동작구,0.79,883,111548
20,2017,서울특별시,관악구,0.74,917,124170
21,2017,서울특별시,서초구,3.62,4674,128977
22,2017,서울특별시,강남구,7.27,12603,173282
23,2017,서울특별시,송파구,3.5,6891,196672
24,2017,서울특별시,강동구,5.68,6868,120940
25,2017,부산광역시,동부,7.8,89151,1142880
26,2017,부산광역시,읍부,10.12,5149,50896
27,2017,부산광역시,면부,6.58,437,6646
28,2017,부산광역시,중구,14.34,2423,16893
29,2017,부산광역시,서구,8.84,3424,38735
30,2017,부산광역시,동구,10.79,3327,30842
31,2017,부산광역시,영도구,9.04,4180,46222
32,2017,부산광역시,부산진구,10.08,13680,135673
33,2017,부산광역시,동래구,6.49,5650,87052
34,2017,부산광역시,남구,10.92,11022,100948
35,2017,부산광역시,북구,5.02,5241,104480
36,2017,부산광역시,해운대구,6.92,9667,139613
37,2017,부산광역시,사하구,6.38,7309,114558
38,2017,부산광역시,금정구,8.08,6658,82427
39,2017,부산광역시,강서구,6.68,2488,37268
40,2017,부산광역시,연제구,6.83,4669,68314
41,2017,부산광역시,수영구,9.58,6186,64543
42,2017,부산광역시,사상구,4.28,3227,75312
43,2017,부산광역시,기장군,9.71,5586,57542
44,2017,대구광역시,동부,4.73,32818,693773
45,2017,대구광역시,읍부,9.0,4717,52423
46,2017,대구광역시,면부,17.63,6645,37699
47,2017,대구광역시,중구,8.77,2261,25788
48,2017,대구광역시,동구,6.54,7732,118194
49,2017,대구광역시,서구,3.53,1921,54424
50,2017,대구광역시,남구,4.73,1980,41877
51,2017,대구광역시,북구,5.33,7478,140387
52,2017,대구광역시,수성구,4.15,5537,133564
53,2017,대구광역시,달서구,3.29,5909,179539
