Unnamed: 0,시도명,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
0,창원시,482.0,202.0,256.0,29.0,140,188,220,24
1,진주시,157.0,117.0,34.0,27.0,119,185,127,172
2,통영시,58.0,75.0,33.0,17.0,66,119,120,58
3,사천시,58.0,77.0,11.0,38.0,82,104,30,73
4,김해시,163.0,24.0,53.0,25.0,58,72,93,71
5,밀양시,106.0,52.0,25.0,18.0,270,446,49,55
6,거제시,7.0,28.0,20.0,15.0,32,77,107,76
7,양산시,8.0,23.0,3.0,4.0,25,28,9,10
8,의령군,,,,,39,325,211,19
9,함안군,,,,,29,163,173,114
10,창녕군,,,,,39,103,97,15
11,고성군,,,,,113,266,342,185
12,남해군,,,,,147,431,285,203
13,하동군,,,,,7,38,80,134
14,산청군,,,,,52,82,31,29
15,함양군,,,,,54,121,51,32
16,거창군,,,,,44,181,46,18
17,합천군,,,,,73,186,160,133
