Unnamed: 0,지역명칭,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,기준일자
0,성당동,8,13,1,0,22,2023-06-02
1,"두류1,2동",20,30,9,17,76,2023-06-02
2,두류3동,5,2,0,0,7,2023-06-02
3,본리동,1,5,0,1,7,2023-06-02
4,감삼동,1,4,1,0,6,2023-06-02
5,죽전동,0,3,0,0,3,2023-06-02
6,장기동,0,12,0,0,12,2023-06-02
7,용산1동,0,1,1,1,3,2023-06-02
8,용산2동,1,0,0,0,1,2023-06-02
9,이곡1동,0,0,0,0,0,2023-06-02
10,이곡2동,0,0,0,0,0,2023-06-02
11,신당동,1,3,1,4,9,2023-06-02
12,월성1동,0,0,1,10,11,2023-06-02
13,월성2동,0,0,0,0,0,2023-06-02
14,진천동,7,3,4,3,17,2023-06-02
15,유천동,0,0,0,0,0,2023-06-02
16,상인1동,0,0,0,0,0,2023-06-02
17,상인2동,29,4,3,6,42,2023-06-02
18,상인3동,0,0,0,0,0,2023-06-02
19,도원동,0,1,1,1,3,2023-06-02
20,송현1동,0,4,0,1,5,2023-06-02
21,송현2동,3,2,0,0,5,2023-06-02
22,본동,1,10,3,0,14,2023-06-02
