Unnamed: 0,,지역명칭,,,,,,기준일자
0,1,고성동,11,4,5,1,1,2024-05-01
1,2,칠성동,107,11,34,37,25,2024-05-01
2,3,침산1동,39,2,20,14,3,2024-05-01
3,4,침산2동,20,5,8,3,4,2024-05-01
4,5,침산3동,40,2,22,9,7,2024-05-01
5,6,노원동,24,15,8,1,0,2024-05-01
6,7,산격1동,46,1,22,19,4,2024-05-01
7,8,산격2동,14,0,6,3,5,2024-05-01
8,9,산격3동,13,3,8,2,0,2024-05-01
9,10,산격4동,44,9,22,9,4,2024-05-01
10,11,복현1동,10,6,2,0,2,2024-05-01
11,12,복현2동,4,3,0,1,0,2024-05-01
12,13,대현동,44,4,31,4,5,2024-05-01
13,14,검단동,12,8,2,0,2,2024-05-01
14,15,무태조야동,7,5,1,0,1,2024-05-01
15,16,관문동,30,19,8,1,2,2024-05-01
16,17,태전1동,2,2,0,0,0,2024-05-01
17,18,태전2동,1,0,1,0,0,2024-05-01
18,19,구암동,2,0,2,0,0,2024-05-01
19,20,관음동,2,2,0,0,0,2024-05-01
20,21,읍내동,14,12,0,0,2,2024-05-01
21,22,동천동,3,3,0,0,0,2024-05-01
22,23,국우동,14,6,4,2,2,2024-05-01
