Unnamed: 0,Unnamed: 1,시도명,시군구명,행정동,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,관리기관명,관리부서,관리기관전화번호,기준일자
0,1,대구광역시,중구,남산1동,4,10,7,4,25,대구광역시 중구청,건축주택과,053-661-2966,2021-12-31
1,2,대구광역시,중구,남산2동,6,3,3,0,12,대구광역시 중구청,건축주택과,053-661-2966,2021-12-31
2,3,대구광역시,중구,남산3동,5,3,7,1,16,대구광역시 중구청,건축주택과,053-661-2966,2021-12-31
3,4,대구광역시,중구,남산4동,0,1,0,0,1,대구광역시 중구청,건축주택과,053-661-2966,2021-12-31
4,5,대구광역시,중구,대봉1동,2,2,4,2,10,대구광역시 중구청,건축주택과,053-661-2966,2021-12-31
5,6,대구광역시,중구,대봉2동,0,4,2,0,6,대구광역시 중구청,건축주택과,053-661-2966,2021-12-31
6,7,대구광역시,중구,대신동,4,3,0,1,8,대구광역시 중구청,건축주택과,053-661-2966,2021-12-31
7,8,대구광역시,중구,동인동,1,1,16,19,37,대구광역시 중구청,건축주택과,053-661-2966,2021-12-31
8,9,대구광역시,중구,삼덕동,0,2,3,3,8,대구광역시 중구청,건축주택과,053-661-2966,2021-12-31
9,10,대구광역시,중구,성내1동,1,12,6,3,22,대구광역시 중구청,건축주택과,053-661-2966,2021-12-31
10,11,대구광역시,중구,성내2동,5,4,7,3,19,대구광역시 중구청,건축주택과,053-661-2966,2021-12-31
11,12,대구광역시,중구,성내3동,3,12,4,1,20,대구광역시 중구청,건축주택과,053-661-2966,2021-12-31
