Unnamed: 0,Unnamed: 1,주소,Unnamed: 3,Unnamed: 4,전용면적,밀집구역포함여부
0,1,부산광역시 수영구 민락동 141-38,단독,제2종일반주거지역,164.0,미포함
1,2,부산광역시 수영구 민락동 141-14,단독,제2종일반주거지역,173.2,미포함
2,3,부산광역시 수영구 민락동 714-16,단독,제3종일반주거지역,30.0,미포함
3,4,부산광역시 수영구 민락동 714-15,단독,제3종일반주거지역,30.0,미포함
4,5,부산광역시 수영구 망미동 441-23,단독,제2종일반주거지역,144.3,미포함
5,6,부산광역시 수영구 민락동 223-14,단독,제3종일반주거지역,33.0,미포함
6,7,부산광역시 수영구 민락동 715-13,단독,제3종일반주거지역,26.0,미포함
7,8,부산광역시 수영구 민락동 716-22,단독,제3종일반주거지역,26.0,미포함
8,9,부산광역시 수영구 민락동 121-9,단독,준주거지역,322.0,미포함
9,10,부산광역시 수영구 광안동 1065-9,단독,제2종일반주거지역,281.7,미포함
10,11,부산광역시 수영구 광안동 1068-24,단독,제2종일반주거지역,164.6,미포함
11,12,부산광역시 수영구 민락동 717-3,단독,제3종일반주거지역,53.0,미포함
12,13,부산광역시 수영구 망미동 198-14,단독,제2종일반주거지역,160.7,미포함
13,14,부산광역시 수영구 광안동 124-21,단독,제2종일반주거지역,168.6,미포함
14,15,부산광역시 수영구 민락동 189-11,단독,제3종일반주거지역,33.0,미포함
15,16,부산광역시 수영구 민락동 223-12,단독,제3종일반주거지역,63.0,미포함
16,17,부산광역시 수영구 민락동 189-12,단독,제3종일반주거지역,40.0,미포함
17,18,부산광역시 수영구 광안동 1038-21,단독,준주거지역,135.0,미포함
18,19,부산광역시 수영구 민락동 189-2,단독,제3종일반주거지역,36.0,미포함
19,20,부산광역시 수영구 광안동 1055-198(302호),다세대,제2종일반주거지역,70.1,미포함
20,21,부산광역시 수영구 광안동 124-47,단독,제2종일반주거지역,157.9,미포함
21,22,부산광역시 수영구 광안동 1055-198(501호),다세대,제2종일반주거지역,50.5,미포함
22,23,부산광역시 수영구 광안동 139-1(210호),아파트,제2종일반주거지역,71.1,미포함
23,24,부산광역시 수영구 민락동 44-2,단독,제2종일반주거지역,142.0,미포함
24,25,부산광역시 수영구 망미동 203-12(501호),다세대,준공업지역,47.8,미포함
25,26,부산광역시 수영구 광안동 192-12(102호),아파트,일반상업지역,84.9,미포함
26,27,부산광역시 수영구 광안동 192-12(303호),아파트,일반상업지역,84.9,미포함
27,28,부산광역시 수영구 광안동 192-12(401호),아파트,일반상업지역,84.9,미포함
28,29,부산광역시 수영구 광안동 192-12(501호),아파트,일반상업지역,84.9,미포함
29,30,부산광역시 수영구 민락동 1-22,단독,제2종일반주거지역,249.0,미포함
30,31,부산광역시 수영구 민락동 172-20(501호),다세대,제2종일반주거지역,21.7,미포함
31,32,부산광역시 수영구 민락동 145-1,단독,제2종일반주거지역,207.6,미포함
32,33,부산광역시 수영구 민락동 143-9,단독,제2종일반주거지역,134.2,미포함
33,34,부산광역시 수영구 민락동 144-28,단독,제2종일반주거지역,341.9,미포함
34,35,부산광역시 수영구 광안동 44-20,단독,준주거지역,81.2,미포함
35,36,부산광역시 수영구 광안동 183-27(103호),다세대,준주거지역,38.4,미포함
36,37,부산광역시 수영구 광안동 558-5,단독,제2종일반주거지역,126.0,미포함
37,38,부산광역시 수영구 광안동 183-27(105호),다세대,준주거지역,38.4,미포함
38,39,부산광역시 수영구 광안동 183-27(203호),다세대,준주거지역,38.4,미포함
39,40,부산광역시 수영구 광안동 566-27,단독,일반상업지역,402.0,미포함
40,41,부산광역시 수영구 광안동 570-35,단독,제2종일반주거지역,155.4,미포함
41,42,부산광역시 수영구 광안동 645-7,단독,제2종일반주거지역,145.0,미포함
42,43,부산광역시 수영구 광안동 716-15,단독,제2종일반주거지역,255.0,미포함
43,44,부산광역시 수영구 광안동 733-12,단독,제2종일반주거지역,60.7,미포함
44,45,부산광역시 수영구 광안동 203-5(103호),다세대,일반상업지역,41.7,미포함
45,46,부산광역시 수영구 광안동 77-6,단독,제2종일반주거지역,412.2,미포함
46,47,부산광역시 수영구 남천동 31-2(4동505호),아파트,제2종일반주거지역,70.6,미포함
47,48,부산광역시 수영구 광안동 958-10,단독,제2종일반주거지역,106.0,미포함
48,49,부산광역시 수영구 광안동 969-3,단독,제2종일반주거지역,108.0,미포함
49,50,부산광역시 수영구 수영동 452-12,단독,준주거지역,157.0,미포함
50,51,부산광역시 수영구 수영동 22-3,단독,준주거지역,222.0,미포함
51,52,부산광역시 수영구 수영동 501-2,단독,제3종일반주거지역,85.6,미포함
52,53,부산광역시 수영구 수영동 453-28,단독,제2종일반주거지역,67.1,미포함
53,54,부산광역시 수영구 수영동 453-26,단독,제2종일반주거지역,107.8,미포함
54,55,부산광역시 수영구 망미동 806-15,단독,제2종일반주거지역,101.2,미포함
55,56,부산광역시 수영구 망미동 804-7,단독,제2종일반주거지역,174.5,미포함
56,57,부산광역시 수영구 수영동 493-20,단독,제2종일반주거지역,143.9,미포함
57,58,부산광역시 수영구 망미동 774-113,단독,제3종일반주거지역,27.0,미포함
58,59,부산광역시 수영구 망미동 803-21,단독,제3종일반주거지역,185.8,미포함
59,60,부산광역시 수영구 망미동 774-53,단독,제3종일반주거지역,43.0,미포함
60,61,부산광역시 수영구 수영동 496-1,단독,제2종일반주거지역,98.2,미포함
61,62,부산광역시 수영구 망미동 213-31,단독,제2종일반주거지역,172.5,미포함
62,63,부산광역시 수영구 망미동 213-8,단독,제2종일반주거지역,226.8,미포함
63,64,부산광역시 수영구 수영동 472-9,단독,제2종일반주거지역,143.1,미포함
64,65,부산광역시 수영구 망미동 393-38,단독,제2종일반주거지역,110.1,미포함
65,66,부산광역시 수영구 망미동 394-34,단독,제2종일반주거지역,133.9,미포함
66,67,부산광역시 수영구 망미동 406-15,단독,제2종일반주거지역,141.2,미포함
67,68,부산광역시 수영구 민락동 225-3(404호),연립,제3종일반주거지역,21.4,미포함
