Unnamed: 0,주소,도로명,Unnamed: 3,건축년도,건축구조,전용면적,건축면적,면적,대지면적(제곱미터)
0,부산광역시 해운대구 중동 1500-9,달맞이길117번가길 97,아파트,1991,철근콘크리트구조,234.51,529.02,3147.84,726.9
1,부산광역시 해운대구 중동 1499-16,달맞이길117번나길 15-17,다세대,1992,철근콘크리트구조,27.0,150.67,634.8,318.4
2,부산광역시 해운대구 중동 1499-4,달맞이길117번나길 15-19,다세대,1992,철근콘크리트구조,27.0,150.67,634.8,318.3
3,부산광역시 해운대구 중동 1493-21,달맞이길117번다길 130-1,단독주택,1985,벽돌구조,,96.87,157.9,0.0
4,부산광역시 해운대구 중동 1506-8,달맞이길117번다길 17,아파트,1991,철근콘크리트구조,141.6,564.46,3454.93,233.9
5,부산광역시 해운대구 중동 1405-10,해운대해변로 302,아파트,1975,철근콘크리트구조,32.69,253.42,1652.72,430.0
6,부산광역시 해운대구 중동 1405-10,해운대해변로 302,아파트,1975,철근콘크리트구조,30.05,253.42,1652.72,430.0
7,부산광역시 해운대구 중동 1405-10,해운대해변로 302,아파트,1975,철근콘크리트구조,32.69,253.42,1652.72,430.0
8,부산광역시 해운대구 중동 1405-10,해운대해변로 302,아파트,1975,철근콘크리트구조,30.05,253.42,1652.72,430.0
9,부산광역시 해운대구 중동 1405-10,해운대해변로 302,아파트,1975,철근콘크리트구조,32.69,253.42,1652.72,430.0
10,부산광역시 해운대구 중동 943-5,달맞이길62번길 6-10,단독주택,1974,블록구조,,55.07,55.07,99.0
11,부산광역시 해운대구 중동 1485-6,달맞이길117번라길 58,다세대,1980,벽돌구조,46.21,184.79,415.76,316.7
12,부산광역시 해운대구 중동 1484-19,달맞이길117번라길 76,단독주택,1988,벽돌구조,,99.63,126.35,276.4
13,부산광역시 해운대구 중동 1483-29,달맞이길117번다길 178,다세대,1991,철근콘크리트구조,20.12,162.98,580.63,297.5
14,부산광역시 해운대구 중동 1484-30,달맞이길117번다길 181,다세대,1991,벽돌구조,25.2,117.66,329.22,298.3
15,부산광역시 해운대구 중동 1484-7,달맞이길117번라길 96,다세대,1996,철근콘크리트구조,65.05,148.78,619.93,254.5
16,부산광역시 해운대구 중동 800-1,좌동순환로468번길 28-8,단독주택,1987,벽돌구조,,90.03,158.91,161.0
17,부산광역시 해운대구 우동 548-34,구남로21번길 11-6,단독주택,1985,블록구조,,83.24,83.24,145.0
18,부산광역시 해운대구 중동 1484-3,달맞이길117번다길 197,연립,1992,철근콘크리트구조,115.24,246.37,1288.0,528.3
19,부산광역시 해운대구 우동 613-3,구남로21번길 13-5,단독주택,1985,블록구조,,36.0,36.0,56.0
20,부산광역시 해운대구 중동 1158-2,달맞이길 29-15,단독주택,1968,블록구조,,43.47,43.47,86.0
21,부산광역시 해운대구 중동 794,,단독주택,1953,일반목구조,,26.45,26.45,182.0
22,부산광역시 해운대구 중동 849,좌동순환로468번길 65-1,단독주택,1953,시멘트블럭조,,0.0,108.95,215.0
23,부산광역시 해운대구 중동 1221-1,해운대해변로 339-5,다세대,2000,철근콘크리트구조,39.0,189.85,659.18,256.0
24,부산광역시 해운대구 중동 831,좌동순환로468번나길 9-9,단독주택,1969,시멘트블럭조,,0.0,54.6,132.0
25,부산광역시 해운대구 중동 1214-2,해운대해변로 339-9,단독주택,1938,일반목구조,,52.89,52.89,250.0
26,부산광역시 해운대구 중동 1477-4,달맞이길117번나길 175-19,다세대,1997,철근콘크리트구조,25.86,146.94,643.35,283.9
27,부산광역시 해운대구 중동 1477-4,달맞이길117번나길 175-19,다세대,1997,철근콘크리트구조,25.86,146.94,643.35,283.9
28,부산광역시 해운대구 중동 1376-15,중동2로24번길 3-6,단독주택,1974,벽돌구조,,70.4,124.28,155.9
29,부산광역시 해운대구 중동 1376-19,중동2로26번길 6,다가구주택,1976,블록구조,,78.58,144.14,155.0
30,부산광역시 해운대구 중동 1679,중동1로17번길 32-13,단독주택,1974,블록구조,,25.78,25.78,65.2
31,부산광역시 해운대구 중동 1645,중동2로26번길 11,단독주택,1997,기타조적구조,,66.2,132.4,89.0
32,부산광역시 해운대구 중동 1266-4,해운대해변로351번길 17,단독주택,1969,블록구조,,49.59,49.59,86.0
33,부산광역시 해운대구 중동 1266-1,해운대해변로351번길 21,단독주택,1970,블록구조,,56.66,56.66,205.0
34,부산광역시 해운대구 중동 1661,중동2로 31-8,단독주택,1971,블록구조,,26.45,26.45,63.6
35,부산광역시 해운대구 중동 1271-60,해운대해변로359번길 13-1,단독주택,1985,블록구조,,26.25,29.25,30.0
36,부산광역시 해운대구 중동 1271-65,해운대해변로357번길 10-5,단독주택,1973,블록구조,,56.08,56.08,107.0
37,부산광역시 해운대구 중동 1637,중동2로26번길 15-8,단독주택,1968,벽돌구조,,48.79,48.79,149.0
38,부산광역시 해운대구 중동 1365-1,중동2로34번길 24,단독주택,1978,블록구조,,86.78,128.0,437.0
39,부산광역시 해운대구 우동 460-55,우동1로49번길 17-6,단독주택,1974,블록구조,,55.2,55.2,139.0
40,부산광역시 해운대구 우동 460-40,우동1로 45-8,단독주택,1971,블록구조,,42.98,42.98,64.0
41,부산광역시 해운대구 우동 460-65,우동1로 45-6,단독주택,1976,블록구조,,81.98,81.98,165.0
42,부산광역시 해운대구 우동 520-46,우동1로20번가길 19-13,단독주택,1975,블록구조,,59.05,59.05,119.0
43,부산광역시 해운대구 우동 458-1,우동1로 53,다세대,1979,철근콘크리트구조,56.1,224.46,588.02,449.0
44,부산광역시 해운대구 우동 397-39,우동1로49번가길 13-1,단독주택,1974,블록구조,,59.5,59.5,99.0
45,부산광역시 해운대구 우동 397-38,우동1로49번가길 16,단독주택,1985,블록구조,,29.6,29.6,30.0
46,부산광역시 해운대구 우동 397-97,우동1로49번가길 17,단독주택,1973,블록구조,,23.14,23.14,63.0
47,부산광역시 해운대구 우동 397-58,우동1로49번가길 15-4,단독주택,1973,블록구조,,33.06,33.06,83.0
48,부산광역시 해운대구 우동 397-53,우동1로49번가길 15-13,단독주택,1972,블록구조,,42.98,42.98,99.0
