Unnamed: 0,Unnamed: 1,시군구명,주소,등급,Unnamed: 5,Unnamed: 6,면적,밀집구역포함여부
0,1,부산광역시 금정구,구서동 420-45(101호),1,다세대,일반상업지역,60.5,미포함
1,2,부산광역시 금정구,구서동 816-6(지하),1,연립,제2종일반주거지역,198.9,미포함
2,3,부산광역시 금정구,금사동 26-1(307호),1,연립,제2종일반주거지역,43.5,미포함
3,4,부산광역시 금정구,금사동 26-17,2,단독,제2종일반주거지역,154.0,미포함
4,5,부산광역시 금정구,금사동 358(201호),1,다세대,제2종일반주거지역,80.6,미포함
5,6,부산광역시 금정구,금사동 416-2(107호),1,연립,제2종일반주거지역,53.1,미포함
6,7,부산광역시 금정구,금사동 58-18,1,단독,제2종일반주거지역,159.0,미포함
7,8,부산광역시 금정구,금사동 58-6,2,단독,제2종일반주거지역,176.8,미포함
8,9,부산광역시 금정구,금사동 64-8(203호),1,다세대,제2종일반주거지역,49.8,미포함
9,10,부산광역시 금정구,금사동 68-14(207호),1,연립,준공업지역,48.9,미포함
10,11,부산광역시 금정구,금사동 68-14(306호),1,연립,준공업지역,29.3,미포함
11,12,부산광역시 금정구,금성동 532,3,단독,자연녹지지역,289.3,미포함
12,13,부산광역시 금정구,남산동 101-1(402호),1,연립,제2종일반주거지역,26.5,미포함
13,14,부산광역시 금정구,남산동 130-28,1,단독,제3종일반주거지역,112.8,미포함
14,15,부산광역시 금정구,남산동 130-29,1,단독,제3종일반주거지역,111.3,미포함
15,16,부산광역시 금정구,남산동 18-19,2,단독,제2종일반주거지역,127.3,미포함
16,17,부산광역시 금정구,남산동 962-24,2,단독,제2종일반주거지역,237.5,미포함
17,18,부산광역시 금정구,노포동 261,3,단독,제1종일반주거지역,235.0,미포함
18,19,부산광역시 금정구,노포동 769,3,단독,제1종일반주거지역,450.0,미포함
19,20,부산광역시 금정구,두구동 455,3,단독,제1종일반주거지역,436.0,미포함
20,21,부산광역시 금정구,두구동 591,2,단독,제1종일반주거지역,255.0,미포함
21,22,부산광역시 금정구,부곡동 17-7,2,단독,제2종일반주거지역,56.5,미포함
22,23,부산광역시 금정구,부곡동 223-31,1,단독,제3종일반주거지역,160.6,미포함
23,24,부산광역시 금정구,부곡동 223-53,1,단독,제3종일반주거지역,162.6,미포함
24,25,부산광역시 금정구,부곡동 223-73,1,단독,제3종일반주거지역,161.3,미포함
25,26,부산광역시 금정구,부곡동 257-35,1,단독,제2종일반주거지역,380.1,미포함
26,27,부산광역시 금정구,부곡동 261-27,1,단독,제2종일반주거지역,63.1,미포함
