Unnamed: 0,,주소,시군구명,지역명칭,행정동,,등급,기준일자
0,1,서울특별시 강북구 미아동 1261-***,강북구,미아동,송천동,단독주택,3등급,2024-04-19
1,2,서울특별시 강북구 미아동 53-***,강북구,미아동,송중동,단독주택,1등급,2024-04-19
2,3,서울특별시 강북구 미아동 791-***,강북구,미아동,삼양동,단독주택,4등급,2024-04-19
3,4,서울특별시 강북구 미아동 791-***,강북구,미아동,삼양동,단독주택,4등급,2024-04-19
4,5,서울특별시 강북구 미아동 791-***,강북구,미아동,삼양동,단독주택,2등급,2024-04-19
5,6,서울특별시 강북구 미아동 791-***,강북구,미아동,삼양동,단독주택,4등급,2024-04-19
6,7,서울특별시 강북구 미아동 791-***,강북구,미아동,삼양동,단독주택,4등급,2024-04-19
7,8,서울특별시 강북구 미아동 791-***,강북구,미아동,삼양동,단독주택,2등급,2024-04-19
8,9,서울특별시 강북구 미아동 791-***,강북구,미아동,삼양동,단독주택,4등급,2024-04-19
9,10,서울특별시 강북구 미아동 791-***,강북구,미아동,삼양동,단독주택,3등급,2024-04-19
10,11,서울특별시 강북구 미아동 791-***,강북구,미아동,삼양동,단독주택,3등급,2024-04-19
11,12,서울특별시 강북구 미아동 837-***,강북구,미아동,삼양동,단독주택,4등급,2024-04-19
12,13,서울특별시 강북구 수유동 486-***,강북구,수유동,삼양동,단독주택,4등급,2024-04-19
13,14,서울특별시 강북구 수유동 486-***,강북구,수유동,삼양동,단독주택,1등급,2024-04-19
14,15,서울특별시 강북구 수유동 486-***,강북구,수유동,삼양동,단독주택,4등급,2024-04-19
15,16,서울특별시 강북구 우이동 72-***,강북구,우이동,삼양동,단독주택,4등급,2024-04-19
16,17,서울특별시 강북구 미아동 1261-***,강북구,미아동,삼양동,단독주택,4등급,2024-04-19
17,18,서울특별시 강북구 미아동 1261-***,강북구,미아동,삼양동,단독주택,1등급,2024-04-19
18,19,서울특별시 강북구 미아동 1261-***,강북구,미아동,삼양동,단독주택,3등급,2024-04-19
19,20,서울특별시 강북구 미아동 1261-***,강북구,미아동,삼양동,단독주택,4등급,2024-04-19
20,21,서울특별시 강북구 미아동 1261-***,강북구,미아동,송천동,단독주택,3등급,2024-04-19
21,22,서울특별시 강북구 미아동 1261-***,강북구,미아동,송천동,단독주택,3등급,2024-04-19
22,23,서울특별시 강북구 미아동 1261-***,강북구,미아동,송천동,단독주택,3등급,2024-04-19
23,24,서울특별시 강북구 미아동 1261-***,강북구,미아동,송천동,단독주택,3등급,2024-04-19
24,25,서울특별시 강북구 미아동 1261-***,강북구,미아동,송천동,단독주택,3등급,2024-04-19
25,26,서울특별시 강북구 미아동 1261-***,강북구,미아동,송천동,단독주택,4등급,2024-04-19
26,27,서울특별시 강북구 미아동 1261-***,강북구,미아동,송천동,단독주택,4등급,2024-04-19
27,28,서울특별시 강북구 미아동 1264-***,강북구,미아동,송천동,단독주택,2등급,2024-04-19
28,29,서울특별시 강북구 미아동 1264-***,강북구,미아동,송천동,단독주택,4등급,2024-04-19
29,30,서울특별시 강북구 미아동 1264-***,강북구,미아동,송천동,단독주택,4등급,2024-04-19
30,31,서울특별시 강북구 미아동 136-***,강북구,미아동,송중동,단독주택,1등급,2024-04-19
31,32,서울특별시 강북구 미아동 222-***,강북구,미아동,미아동,단독주택,1등급,2024-04-19
32,33,서울특별시 강북구 미아동 380-***,강북구,미아동,송천동,단독주택,1등급,2024-04-19
33,34,서울특별시 강북구 미아동 42-***,강북구,미아동,송중동,다세대,1등급,2024-04-19
34,35,서울특별시 강북구 미아동 424-***,강북구,미아동,송천동,단독주택,1등급,2024-04-19
35,36,서울특별시 강북구 미아동 436-***,강북구,미아동,송천동,단독주택,2등급,2024-04-19
36,37,서울특별시 강북구 미아동 439-***,강북구,미아동,송천동,단독주택,4등급,2024-04-19
37,38,서울특별시 강북구 미아동 637-***,강북구,미아동,송천동,단독주택,2등급,2024-04-19
38,39,서울특별시 강북구 미아동 637-***,강북구,미아동,송천동,단독주택,3등급,2024-04-19
39,40,서울특별시 강북구 미아동 734-***,강북구,미아동,송천동,단독주택,1등급,2024-04-19
