Unnamed: 0,Unnamed: 1,지역명칭,대지면적(제곱미터),건축면적,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
0,1,서울특별시 광진구 화양동469-5,252.17,151.18,584.48,제3종일반주거지역,일반,다가구,전체공실
1,2,서울특별시 광진구 중곡동39-46,103.8,67.21,88.3,제2종일반주거지역,일반,단독주택,전체공실
2,3,서울특별시 광진구 중곡동73-122,124.0,64.43,91.97,제1종일반주거지역,일반,단독주택,전체공실
3,4,서울특별시 광진구 중곡동190-21,49.6,30.25,30.25,제2종일반주거지역,일반,단독주택,전체공실
4,5,서울특별시 광진구 중곡동191-38,87.9,49.52,49.52,제2종일반주거지역,일반,단독주택,전체공실
5,6,서울특별시 광진구 자양동59-7,89.7,43.16,135.56,준주거지역,일반,단독주택,전체공실
6,7,서울특별시 광진구 자양동219-37,280.9,116.59,320.62,준주거지역,해제,다가구,전체공실
7,8,서울특별시 광진구 광장동264-10,208.0,46.61,46.61,제2종일반주거지역,일반,단독주택,전체공실
8,9,서울특별시 광진구 광장동570 1406호,5037.6,1162.09,27730.04,제3종일반주거지역,일반,아파트,일부공실
9,10,서울특별시 광진구 구의동225-22 201호,245.11,141.6,658.8,제2종일반주거지역,일반,다세대,일부공실
10,11,서울특별시 광진구 구의동650-3 지01호,166.0,80.6,241.8,제2종일반주거지역,일반,다세대,일부공실
11,12,서울특별시 광진구 군자동62-12 지01호,148.0,73.13,215.8,제2종일반주거지역,일반,다세대,일부공실
12,13,서울특별시 광진구 군자동63 402호,281.0,152.47,656.35,제2종일반주거지역,일반,다세대,일부공실
13,14,서울특별시 광진구 자양동839-12 B101호,128.45,73.44,267.39,제2종일반주거지역,일반,다세대,일부공실
14,15,서울특별시 광진구 자양동851-7 제7호,661.0,371.37,408.86,제2종일반주거지역,일반,연립,일부공실
15,16,서울특별시 광진구 중곡동74-48 102호,196.5,91.95,449.57,제1종일반주거지역,일반,다세대,일부공실
16,17,서울특별시 광진구 중곡동175-65 비01호,186.5,84.32,270.84,제2종일반주거지역,일반,다세대,일부공실
17,18,서울특별시 광진구 중곡동288-1 지02호,191.4,89.6,448,제1종일반주거지역,일반,다세대,일부공실
18,19,서울특별시 광진구 광장동574-2,2210.0,,397.86,제3종일반주거지역,일반,교정 및군사시설(초소),주거 외 공실
19,20,서울특별시 광진구 자양동476-12,112.0,60.03,116.75,제2종일반주거지역,일반,단독주택,자양7구역(정비구역)
20,21,서울특별시 광진구 화양동94-20,194.0,, ,준주거지역,일반,단독주택,무허가
