,지자체명,시도명,시군구명,지역명칭,도로명,건축년도,건축구조,건축면적,대지면적(제곱미터),행정동,등급,기준일자,관리기관명,밀집구역포함여부,면적,소유자,관리기관전화번호,아파트,관리부서,건축물구조,건물용도,건물주소,건물구조,건물규모,경도
0,대구광역시 동구_빈집 등급 및 동별 현황_20211231.csv,대구광역시,남구,이천동,,,,,,,,,,,,,,,,,,,,,
1,대구광역시 동구_빈집 등급 및 동별 현황_20211231.csv,대구광역시,남구,봉덕1동,,,,,,,,,,,,,,,,,,,,,
2,대구광역시 동구_빈집 등급 및 동별 현황_20211231.csv,대구광역시,남구,봉덕2동,,,,,,,,,,,,,,,,,,,,,
3,대구광역시 동구_빈집 등급 및 동별 현황_20211231.csv,대구광역시,남구,봉덕3동,,,,,,,,,,,,,,,,,,,,,
4,대구광역시 동구_빈집 등급 및 동별 현황_20211231.csv,대구광역시,남구,대명1동,,,,,,,,,,,,,,,,,,,,,
5,대구광역시 동구_빈집 등급 및 동별 현황_20211231.csv,대구광역시,남구,대명2동,,,,,,,,,,,,,,,,,,,,,
6,대구광역시 동구_빈집 등급 및 동별 현황_20211231.csv,대구광역시,남구,대명3동,,,,,,,,,,,,,,,,,,,,,
7,대구광역시 동구_빈집 등급 및 동별 현황_20211231.csv,대구광역시,남구,대명4동,,,,,,,,,,,,,,,,,,,,,
8,대구광역시 동구_빈집 등급 및 동별 현황_20211231.csv,대구광역시,남구,대명5동,,,,,,,,,,,,,,,,,,,,,
9,대구광역시 동구_빈집 등급 및 동별 현황_20211231.csv,대구광역시,남구,대명6동,,,,,,,,,,,,,,,,,,,,,
10,대구광역시 동구_빈집 등급 및 동별 현황_20211231.csv,대구광역시,남구,대명9동,,,,,,,,,,,,,,,,,,,,,
11,대구광역시 동구_빈집 등급 및 동별 현황_20211231.csv,대구광역시,남구,대명10동,,,,,,,,,,,,,,,,,,,,,
12,대구광역시 동구_빈집 등급 및 동별 현황_20211231.csv,대구광역시,남구,대명11동,,,,,,,,,,,,,,,,,,,,,
0,대구광역시 동구_빈집 등급 및 동별 현황_20211231.csv,,,,달맞이길117번가길 97,1991,철근콘크리트구조,529.02,726.9,,,,,,,,,,,,,,,,
1,대구광역시 동구_빈집 등급 및 동별 현황_20211231.csv,,,,달맞이길117번나길 15-17,1992,철근콘크리트구조,150.67,318.4,,,,,,,,,,,,,,,,
2,대구광역시 동구_빈집 등급 및 동별 현황_20211231.csv,,,,달맞이길117번나길 15-19,1992,철근콘크리트구조,150.67,318.3,,,,,,,,,,,,,,,,
3,대구광역시 동구_빈집 등급 및 동별 현황_20211231.csv,,,,달맞이길117번다길 130-1,1985,벽돌구조,96.87,0.0,,,,,,,,,,,,,,,,
4,대구광역시 동구_빈집 등급 및 동별 현황_20211231.csv,,,,달맞이길117번다길 17,1991,철근콘크리트구조,564.46,233.9,,,,,,,,,,,,,,,,
5,대구광역시 동구_빈집 등급 및 동별 현황_20211231.csv,,,,해운대해변로 302,1975,철근콘크리트구조,253.42,430.0,,,,,,,,,,,,,,,,
6,대구광역시 동구_빈집 등급 및 동별 현황_20211231.csv,,,,해운대해변로 302,1975,철근콘크리트구조,253.42,430.0,,,,,,,,,,,,,,,,
7,대구광역시 동구_빈집 등급 및 동별 현황_20211231.csv,,,,해운대해변로 302,1975,철근콘크리트구조,253.42,430.0,,,,,,,,,,,,,,,,
8,대구광역시 동구_빈집 등급 및 동별 현황_20211231.csv,,,,해운대해변로 302,1975,철근콘크리트구조,253.42,430.0,,,,,,,,,,,,,,,,
9,대구광역시 동구_빈집 등급 및 동별 현황_20211231.csv,,,,해운대해변로 302,1975,철근콘크리트구조,253.42,430.0,,,,,,,,,,,,,,,,
10,대구광역시 동구_빈집 등급 및 동별 현황_20211231.csv,,,,달맞이길62번길 6-10,1974,블록구조,55.07,99.0,,,,,,,,,,,,,,,,
11,대구광역시 동구_빈집 등급 및 동별 현황_20211231.csv,,,,달맞이길117번라길 58,1980,벽돌구조,184.79,316.7,,,,,,,,,,,,,,,,
12,대구광역시 동구_빈집 등급 및 동별 현황_20211231.csv,,,,달맞이길117번라길 76,1988,벽돌구조,99.63,276.4,,,,,,,,,,,,,,,,
13,대구광역시 동구_빈집 등급 및 동별 현황_20211231.csv,,,,달맞이길117번다길 178,1991,철근콘크리트구조,162.98,297.5,,,,,,,,,,,,,,,,
14,대구광역시 동구_빈집 등급 및 동별 현황_20211231.csv,,,,달맞이길117번다길 181,1991,벽돌구조,117.66,298.3,,,,,,,,,,,,,,,,
